Indicator,Code,Year,Pop
Poblacion Total,NER,1996,10149937
Poblacion Total,NGA,1996,110956183
Poblacion Total,NIC,1996,4812391
Poblacion Total,NLD,1996,15530498
Poblacion Total,NOR,1996,4381336
Poblacion Total,NPL,1996,22783969
Poblacion Total,NRU,1996,10345
Poblacion Total,NZL,1996,3732000
Poblacion Total,OED,1996,1164716390
Poblacion Total,OMN,1996,2209958
Poblacion Total,OSS,1996,19901069
Poblacion Total,PAK,1996,137234810
Poblacion Total,PAN,1996,2771606
Poblacion Total,PER,1996,24907304
Poblacion Total,PHL,1996,70944969
Poblacion Total,PLW,1996,17732
Poblacion Total,PNG,1996,4785895
Poblacion Total,POL,1996,38624370
Poblacion Total,PRE,1996,495937962
Poblacion Total,PRI,1996,3724655
Poblacion Total,PRK,1996,22614347
Poblacion Total,PRT,1996,10063945
Poblacion Total,PRY,1996,4711655
Poblacion Total,PSE,1996,2587997
Poblacion Total,PSS,1996,1917072
Poblacion Total,PST,1996,1000693857
Poblacion Total,PYF,1996,235189
Poblacion Total,QAT,1996,529265
Poblacion Total,ROU,1996,22619004
Poblacion Total,RUS,1996,148160129
Poblacion Total,RWA,1996,6715510
Poblacion Total,SAS,1996,1299407301
Poblacion Total,SAU,1996,19410280
Poblacion Total,SDN,1996,23862258
Poblacion Total,SEN,1996,8843423
Poblacion Total,SGP,1996,3670704
Poblacion Total,SLB,1996,386069
Poblacion Total,SLE,1996,4347370
Poblacion Total,SLV,1996,5797140
Poblacion Total,SMR,1996,25235
Poblacion Total,SOM,1996,7472450
Poblacion Total,SRB,1996,7617794
Poblacion Total,SSA,1996,605109645
Poblacion Total,SSD,1996,5434894
Poblacion Total,SSF,1996,605186062
Poblacion Total,SST,1996,28194606
Poblacion Total,STP,1996,135412
Poblacion Total,SUR,1996,443834
Poblacion Total,SVK,1996,5373361
Poblacion Total,SVN,1996,1988628
Poblacion Total,SWE,1996,8840998
Poblacion Total,SWZ,1996,973587
Poblacion Total,SXM,1996,31410
Poblacion Total,SYC,1996,76417
Poblacion Total,SYR,1996,14708879
Poblacion Total,TCA,1996,15806
Poblacion Total,TCD,1996,7200291
Poblacion Total,TEA,1996,1715256519
Poblacion Total,TEC,1996,435461598
Poblacion Total,TGO,1996,4445883
Poblacion Total,THA,1996,60211096
Poblacion Total,TJK,1996,6035600
Poblacion Total,TKM,1996,4301093
Poblacion Total,TLA,1996,474585894
Poblacion Total,TLS,1996,831269
Poblacion Total,TMN,1996,259648021
Poblacion Total,TON,1996,100195
Poblacion Total,TSA,1996,1299407301
Poblacion Total,TSS,1996,605186062
Poblacion Total,TTO,1996,1313434
Poblacion Total,TUN,1996,9430550
Poblacion Total,TUR,1996,60293786
Poblacion Total,TUV,1996,9611
Poblacion Total,TZA,1996,31140733
Poblacion Total,UGA,1996,21249572
Poblacion Total,UKR,1996,51057800
Poblacion Total,UMC,1996,2279220415
Poblacion Total,URY,1996,3226633
Poblacion Total,USA,1996,269394000
Poblacion Total,UZB,1996,23225000
Poblacion Total,VCT,1996,114290
Poblacion Total,VEN,1996,22572110
Poblacion Total,VGB,1996,18120
Poblacion Total,VIR,1996,108095
Poblacion Total,VNM,1996,74946448
Poblacion Total,VUT,1996,174714
Poblacion Total,WLD,1996,5811580202
Poblacion Total,WSM,1996,176713
Poblacion Total,XKX,1996,2059000
Poblacion Total,YEM,1996,16614326
Poblacion Total,ZAF,1996,44661603
Poblacion Total,ZMB,1996,8902019
Poblacion Total,ZWE,1996,11178171
Poblacion Total,ABW,1997,81858
Poblacion Total,AFG,1997,17788819
Poblacion Total,AGO,1997,14871146
Poblacion Total,ALB,1997,3148281
Poblacion Total,AND,1997,64682
Poblacion Total,ARB,1997,268158920
Poblacion Total,ARE,1997,2746119
Poblacion Total,ARG,1997,35815971
Poblacion Total,ARM,1997,3271418
Poblacion Total,ASM,1997,55578
Poblacion Total,ATG,1997,71218
Poblacion Total,AUS,1997,18423037
Poblacion Total,AUT,1997,7968041
Poblacion Total,AZE,1997,7838250
Poblacion Total,BDI,1997,5923862
Poblacion Total,BEL,1997,10181245
Poblacion Total,BEN,1997,6387026
Poblacion Total,BFA,1997,10897353
Poblacion Total,BGD,1997,122039226
Poblacion Total,BGR,1997,8312068
Poblacion Total,BHR,1997,652643
Poblacion Total,BHS,1997,310171
Poblacion Total,BIH,1997,4047748
Poblacion Total,BLR,1997,10117433
Poblacion Total,BLZ,1997,217117
Poblacion Total,BMU,1997,60497
Poblacion Total,BOL,1997,8137619
Poblacion Total,BRA,1997,168546707
Poblacion Total,BRB,1997,263224
Poblacion Total,BRN,1997,313215
Poblacion Total,BTN,1997,546865
Poblacion Total,BWA,1997,1619354
Poblacion Total,CAF,1997,3458472
Poblacion Total,CAN,1997,29905948
Poblacion Total,CEB,1997,109422013
Poblacion Total,CHE,1997,7088906
Poblacion Total,CHI,1997,143549
Poblacion Total,CHL,1997,14809289
Poblacion Total,CHN,1997,1230075000
Poblacion Total,CIV,1997,15335453
Poblacion Total,CMR,1997,13941181
Poblacion Total,COD,1997,44822198
Poblacion Total,COG,1997,2875037
Poblacion Total,COL,1997,37291946
Poblacion Total,COM,1997,505033
Poblacion Total,CPV,1997,430654
Poblacion Total,CRI,1997,3739421
Poblacion Total,CSS,1997,6430969
Poblacion Total,CUB,1997,10998129
Poblacion Total,CUW,1997,146956
Poblacion Total,CYM,1997,35579
Poblacion Total,CYP,1997,897471
Poblacion Total,CZE,1997,10304131
Poblacion Total,DEU,1997,82034771
Poblacion Total,DJI,1997,667786
Poblacion Total,DMA,1997,69081
Poblacion Total,DNK,1997,5284991
Poblacion Total,DOM,1997,8150076
Poblacion Total,DZA,1997,29476031
Poblacion Total,EAP,1997,1759221230
Poblacion Total,EAR,1997,2361095210
Poblacion Total,EAS,1997,1986768093
Poblacion Total,ECA,1997,370276347
Poblacion Total,ECS,1997,859711482
Poblacion Total,ECU,1997,11987838
Poblacion Total,EGY,1997,66993728
Poblacion Total,EMU,1997,318773136
Poblacion Total,ERI,1997,2291561
Poblacion Total,ESP,1997,40057389
Poblacion Total,EST,1997,1399535
Poblacion Total,ETH,1997,61233480
Poblacion Total,EUU,1997,427549432
Poblacion Total,FCS,1997,572896408
Poblacion Total,FIN,1997,5139835
Poblacion Total,FJI,1997,804572
Poblacion Total,FRA,1997,59969944
Poblacion Total,FRO,1997,44495
Poblacion Total,FSM,1997,111133
Poblacion Total,GAB,1997,1179806
Poblacion Total,GBR,1997,58316954
Poblacion Total,GEO,1997,4349913
Poblacion Total,GHA,1997,18268040
Poblacion Total,GIB,1997,27564
Poblacion Total,GIN,1997,7842806
Poblacion Total,GMB,1997,1317002
Poblacion Total,GNB,1997,1162443
Poblacion Total,GNQ,1997,605570
Poblacion Total,GRC,1997,10661259
Poblacion Total,GRD,1997,105549
Poblacion Total,GRL,1997,56000
Poblacion Total,GTM,1997,10788362
Poblacion Total,GUM,1997,154330
Poblacion Total,GUY,1997,755211
Poblacion Total,HIC,1997,1081668120
Poblacion Total,HKG,1997,6489300
Poblacion Total,HND,1997,6144112
Poblacion Total,HPC,1997,437721228
Poblacion Total,HRV,1997,4534920
Poblacion Total,HTI,1997,7915172
Poblacion Total,HUN,1997,10290486
Poblacion Total,IBD,1997,3831608284
Poblacion Total,IBT,1997,4866752668
Poblacion Total,IDA,1997,1035144384
Poblacion Total,IDB,1997,342814697
Poblacion Total,IDN,1997,204628007
Poblacion Total,IDX,1997,692329687
Poblacion Total,IMN,1997,72793
Poblacion Total,IND,1997,1002335230
Poblacion Total,INX,1997,
Poblacion Total,IRL,1997,3674171
Poblacion Total,IRN,1997,62480533
Poblacion Total,IRQ,1997,22330770
Poblacion Total,ISL,1997,271128
Poblacion Total,ISR,1997,5836000
Poblacion Total,ITA,1997,56890372
Poblacion Total,JAM,1997,2554954
Poblacion Total,JOR,1997,4733665
Poblacion Total,JPN,1997,126057000
Poblacion Total,KAZ,1997,15334405
Poblacion Total,KEN,1997,28364264
Poblacion Total,KGZ,1997,4696400
Poblacion Total,KHM,1997,11431569
Poblacion Total,KIR,1997,84308
Poblacion Total,KNA,1997,43656
Poblacion Total,KOR,1997,45953580
Poblacion Total,KWT,1997,1761468
Poblacion Total,LAC,1997,447290040
Poblacion Total,LAO,1997,5150538
Poblacion Total,LBN,1997,4107551
Poblacion Total,LBR,1997,2383300
Poblacion Total,LBY,1997,4902346
Poblacion Total,LCA,1997,155454
Poblacion Total,LCN,1997,498199382
Poblacion Total,LDC,1997,615302205
Poblacion Total,LIC,1997,352755561
Poblacion Total,LIE,1997,31770
Poblacion Total,LKA,1997,18449123
Poblacion Total,LMC,1997,2133529481
Poblacion Total,LMY,1997,4791350281
Poblacion Total,LSO,1997,1972579
Poblacion Total,LTE,1997,1995080443
Poblacion Total,LTU,1997,3575137
Poblacion Total,LUX,1997,419450
Poblacion Total,LVA,1997,2432851
Poblacion Total,MAC,1997,411700
Poblacion Total,MAF,1997,29299
Poblacion Total,MAR,1997,27397118
Poblacion Total,MCO,1997,31968
Poblacion Total,MDA,1997,2936413
Poblacion Total,MDG,1997,14778903
Poblacion Total,MDV,1997,269040
Poblacion Total,MEA,1997,301680248
Poblacion Total,MEX,1997,93183094
Poblacion Total,MHL,1997,52358
Poblacion Total,MIC,1997,4438594720
Poblacion Total,MKD,1997,1996869
Poblacion Total,MLI,1997,10359301
Poblacion Total,MLT,1997,382791
Poblacion Total,MMR,1997,43972046
Poblacion Total,MNA,1997,267566671
Poblacion Total,MNE,1997,609520
Poblacion Total,MNG,1997,2381771
Poblacion Total,MNP,1997,60817
Poblacion Total,MOZ,1997,16521724
Poblacion Total,MRT,1997,2484278
Poblacion Total,MUS,1997,1148284
Poblacion Total,MWI,1997,10512678
Poblacion Total,MYS,1997,21249178
Poblacion Total,NAC,1997,302623445
Poblacion Total,NAM,1997,1693242
Poblacion Total,NCL,1997,201418
Poblacion Total,NER,1997,10494201
Poblacion Total,NGA,1997,113791181
Poblacion Total,NIC,1997,4895962
Poblacion Total,NLD,1997,15610650
Poblacion Total,NOR,1997,4405157
Poblacion Total,NPL,1997,23249417
Poblacion Total,NRU,1997,10363
Poblacion Total,NZL,1997,3781300
Poblacion Total,OED,1997,1173865390
Poblacion Total,OMN,1997,2245588
Poblacion Total,OSS,1997,20269198
Poblacion Total,PAK,1997,141330267
Poblacion Total,PAN,1997,2827992
Poblacion Total,PER,1997,25365386
Poblacion Total,PHL,1997,72718837
Poblacion Total,PLW,1997,18297
Poblacion Total,PNG,1997,4960439
Poblacion Total,POL,1997,38649660
Poblacion Total,PRE,1997,508962926
Poblacion Total,PRI,1997,3759430
Poblacion Total,PRK,1997,22827373
Poblacion Total,PRT,1997,10108977
Poblacion Total,PRY,1997,4818289
Poblacion Total,PSE,1997,2706518
Poblacion Total,PSS,1997,1945783
Poblacion Total,PST,1997,1005936747
Poblacion Total,PYF,1997,239036
Poblacion Total,QAT,1997,550591
Poblacion Total,ROU,1997,22553978
Poblacion Total,RUS,1997,147915361
Poblacion Total,RWA,1997,7666732
Poblacion Total,SAS,1997,1326007987
Poblacion Total,SAU,1997,19938377
Poblacion Total,SDN,1997,24454372
Poblacion Total,SEN,1997,9051539
Poblacion Total,SGP,1997,3796038
Poblacion Total,SLB,1997,397050
Poblacion Total,SLE,1997,4405028
Poblacion Total,SLV,1997,5842638
Poblacion Total,SMR,1997,25596
Poblacion Total,SOM,1997,7734313
Poblacion Total,SRB,1997,7596501
Poblacion Total,SSA,1997,620988006
Poblacion Total,SSD,1997,5589410
Poblacion Total,SSF,1997,621065325
Poblacion Total,SST,1997,28645950
Poblacion Total,STP,1997,137656
Poblacion Total,SUR,1997,452887
Poblacion Total,SVK,1997,5383291
Poblacion Total,SVN,1997,1985956
Poblacion Total,SWE,1997,8846062
Poblacion Total,SWZ,1997,990734
Poblacion Total,SXM,1997,31195
Poblacion Total,SYC,1997,77319
Poblacion Total,SYR,1997,15103996
Poblacion Total,TCA,1997,16515
Poblacion Total,TCD,1997,7450874
Poblacion Total,TEA,1997,1736404220
Poblacion Total,TEC,1997,436014905
Poblacion Total,TGO,1997,4592550
Poblacion Total,THA,1997,60989108
Poblacion Total,TJK,1997,6117069
Poblacion Total,TKM,1997,4363672
Poblacion Total,TLA,1997,482400078
Poblacion Total,TLS,1997,843341
Poblacion Total,TMN,1997,264860153
Poblacion Total,TON,1997,100658
Poblacion Total,TSA,1997,1326007987
Poblacion Total,TSS,1997,621065325
Poblacion Total,TTO,1997,1318171
Poblacion Total,TUN,1997,9557948
Poblacion Total,TUR,1997,61277426
Poblacion Total,TUV,1997,9630
Poblacion Total,TZA,1997,31785846
Poblacion Total,UGA,1997,21876935
Poblacion Total,UKR,1997,50594600
Poblacion Total,UMC,1997,2305065239
Poblacion Total,URY,1997,3245069
Poblacion Total,USA,1997,272657000
Poblacion Total,UZB,1997,23667000
Poblacion Total,VCT,1997,114276
Poblacion Total,VEN,1997,23037561
Poblacion Total,VGB,1997,18591
Poblacion Total,VIR,1997,108357
Poblacion Total,VNM,1997,76058603
Poblacion Total,VUT,1997,178871
Poblacion Total,WLD,1997,5896055962
Poblacion Total,WSM,1997,178543
Poblacion Total,XKX,1997,2086000
Poblacion Total,YEM,1997,17108681
Poblacion Total,ZAF,1997,45285048
Poblacion Total,ZMB,1997,9133156
Poblacion Total,ZWE,1997,11362401
Poblacion Total,ABW,1998,84355
Poblacion Total,AFG,1998,18493132
Poblacion Total,AGO,1998,15366864
Poblacion Total,ALB,1998,3128530
Poblacion Total,AND,1998,65186
Poblacion Total,ARB,1998,274376380
Poblacion Total,ARE,1998,2921130
Poblacion Total,ARG,1998,36233195
Poblacion Total,ARM,1998,3240550
Poblacion Total,ASM,1998,56603
Poblacion Total,ATG,1998,72572
Poblacion Total,AUS,1998,18607584
Poblacion Total,AUT,1998,7976789
Poblacion Total,AZE,1998,7913000
Poblacion Total,BDI,1998,6035340
Poblacion Total,BEL,1998,10203008
Poblacion Total,BEN,1998,6584183
Poblacion Total,BFA,1998,11201063
Poblacion Total,BGD,1998,124350471
Poblacion Total,BGR,1998,8256786
Poblacion Total,BHR,1998,672484
Poblacion Total,BHS,1998,315398
Poblacion Total,BIH,1998,4115059
Poblacion Total,BLR,1998,10071963
Poblacion Total,BLZ,1998,224907
Poblacion Total,BMU,1998,60943
Poblacion Total,BOL,1998,8286928
Poblacion Total,BRA,1998,171039804
Poblacion Total,BRB,1998,263642
Poblacion Total,BRN,1998,320152
Poblacion Total,BTN,1998,557143
Poblacion Total,BWA,1998,1655699
Poblacion Total,CAF,1998,3555064
Poblacion Total,CAN,1998,30155173
Poblacion Total,CEB,1998,109238340
Poblacion Total,CHE,1998,7110001
Poblacion Total,CHI,1998,144211
Poblacion Total,CHL,1998,14996742
Poblacion Total,CHN,1998,1241935000
Poblacion Total,CIV,1998,15858990
Poblacion Total,CMR,1998,14314599
Poblacion Total,COD,1998,45895524
Poblacion Total,COG,1998,2937166
Poblacion Total,COL,1998,37944414
Poblacion Total,COM,1998,515959
Poblacion Total,CPV,1998,440214
Poblacion Total,CRI,1998,3821421
Poblacion Total,CSS,1998,6484492
Poblacion Total,CUB,1998,11033758
Poblacion Total,CUW,1998,144472
Poblacion Total,CYM,1998,36947
Poblacion Total,CYP,1998,914660
Poblacion Total,CZE,1998,10294373
Poblacion Total,DEU,1998,82047195
Poblacion Total,DJI,1998,694920
Poblacion Total,DMA,1998,68938
Poblacion Total,DNK,1998,5304219
Poblacion Total,DOM,1998,8282126
Poblacion Total,DZA,1998,29924668
Poblacion Total,EAP,1998,1779787562
Poblacion Total,EAR,1998,2407186134
Poblacion Total,EAS,1998,2008680261
Poblacion Total,ECA,1998,370591102
Poblacion Total,ECS,1998,860876126
Poblacion Total,ECU,1998,12199693
Poblacion Total,EGY,1998,68446011
Poblacion Total,EMU,1998,319446441
Poblacion Total,ERI,1998,2322753
Poblacion Total,ESP,1998,40223509
Poblacion Total,EST,1998,1386156
Poblacion Total,ETH,1998,63136493
Poblacion Total,EUU,1998,428122323
Poblacion Total,FCS,1998,585589666
Poblacion Total,FIN,1998,5153498
Poblacion Total,FJI,1998,813947
Poblacion Total,FRA,1998,60192790
Poblacion Total,FRO,1998,44865
Poblacion Total,FSM,1998,111406
Poblacion Total,GAB,1998,1209832
Poblacion Total,GBR,1998,58487141
Poblacion Total,GEO,1998,4243607
Poblacion Total,GHA,1998,18714708
Poblacion Total,GIB,1998,27636
Poblacion Total,GIN,1998,7992545
Poblacion Total,GMB,1998,1356189
Poblacion Total,GNB,1998,1184071
Poblacion Total,GNQ,1998,629734
Poblacion Total,GRC,1998,10720509
Poblacion Total,GRD,1998,106200
Poblacion Total,GRL,1998,56100
Poblacion Total,GTM,1998,11046215
Poblacion Total,GUM,1998,156357
Poblacion Total,GUY,1998,756697
Poblacion Total,HIC,1998,1088601219
Poblacion Total,HKG,1998,6543700
Poblacion Total,HND,1998,6308537
Poblacion Total,HPC,1998,449883034
Poblacion Total,HRV,1998,4532135
Poblacion Total,HTI,1998,8060896
Poblacion Total,HUN,1998,10266570
Poblacion Total,IBD,1998,3882839036
Poblacion Total,IBT,1998,4943424234
Poblacion Total,IDA,1998,1060585198
Poblacion Total,IDB,1998,351849692
Poblacion Total,IDN,1998,207855486
Poblacion Total,IDX,1998,708735506
Poblacion Total,IMN,1998,73727
Poblacion Total,IND,1998,1021434576
Poblacion Total,INX,1998,
Poblacion Total,IRL,1998,3712696
Poblacion Total,IRN,1998,63461421
Poblacion Total,IRQ,1998,23053488
Poblacion Total,ISL,1998,274047
Poblacion Total,ISR,1998,5971000
Poblacion Total,ITA,1998,56906744
Poblacion Total,JAM,1998,2576567
Poblacion Total,JOR,1998,4844403
Poblacion Total,JPN,1998,126400000
Poblacion Total,KAZ,1998,15071640
Poblacion Total,KEN,1998,29137373
Poblacion Total,KGZ,1998,4769000
Poblacion Total,KHM,1998,11669077
Poblacion Total,KIR,1998,85805
Poblacion Total,KNA,1998,44230
Poblacion Total,KOR,1998,46286503
Poblacion Total,KWT,1998,1819544
Poblacion Total,LAC,1998,454334962
Poblacion Total,LAO,1998,5246922
Poblacion Total,LBN,1998,4178784
Poblacion Total,LBR,1998,2639224
Poblacion Total,LBY,1998,4980962
Poblacion Total,LCA,1998,156855
Poblacion Total,LCN,1998,506010566
Poblacion Total,LDC,1998,630487968
Poblacion Total,LIC,1998,362458276
Poblacion Total,LIE,1998,32190
Poblacion Total,LKA,1998,18560798
Poblacion Total,LMC,1998,2175317595
Poblacion Total,LMY,1998,4867621521
Poblacion Total,LSO,1998,1985639
Poblacion Total,LTE,1998,2013531302
Poblacion Total,LTU,1998,3549331
Poblacion Total,LUX,1998,424700
Poblacion Total,LVA,1998,2410019
Poblacion Total,MAC,1998,418776
Poblacion Total,MAF,1998,29102
Poblacion Total,MAR,1998,27791825
Poblacion Total,MCO,1998,32209
Poblacion Total,MDA,1998,2935227
Poblacion Total,MDG,1998,15250934
Poblacion Total,MDV,1998,273796
Poblacion Total,MEA,1998,308041622
Poblacion Total,MEX,1998,94767284
Poblacion Total,MHL,1998,53164
Poblacion Total,MIC,1998,4505163245
Poblacion Total,MKD,1998,2007523
Poblacion Total,MLI,1998,10620475
Poblacion Total,MLT,1998,385287
Poblacion Total,MMR,1998,44516185
Poblacion Total,MNA,1998,272938873
Poblacion Total,MNE,1998,607662
Poblacion Total,MNG,1998,2405148
Poblacion Total,MNP,1998,68501
Poblacion Total,MOZ,1998,16923195
Poblacion Total,MRT,1998,2550501
Poblacion Total,MUS,1998,1160421
Poblacion Total,MWI,1998,10732456
Poblacion Total,MYS,1998,21810542
Poblacion Total,NAC,1998,306070116
Poblacion Total,NAM,1998,1735953
Poblacion Total,NCL,1998,205279
Poblacion Total,NER,1998,10854920
Poblacion Total,NGA,1998,116690527
Poblacion Total,NIC,1998,4974552
Poblacion Total,NLD,1998,15707209
Poblacion Total,NOR,1998,4431464
Poblacion Total,NPL,1998,23703328
Poblacion Total,NRU,1998,10377
Poblacion Total,NZL,1998,3815000
Poblacion Total,OED,1998,1182690089
Poblacion Total,OMN,1998,2279727
Poblacion Total,OSS,1998,20646215
Poblacion Total,PAK,1998,145476106
Poblacion Total,PAN,1998,2885177
Poblacion Total,PER,1998,25818226
Poblacion Total,PHL,1998,74491918
Poblacion Total,PLW,1998,18852
Poblacion Total,PNG,1998,5138829
Poblacion Total,POL,1998,38663481
Poblacion Total,PRE,1998,523022619
Poblacion Total,PRI,1998,3781101
Poblacion Total,PRK,1998,23023636
Poblacion Total,PRT,1998,10160196
Poblacion Total,PRY,1998,4923449
Poblacion Total,PSE,1998,2776568
Poblacion Total,PSS,1998,1976146
Poblacion Total,PST,1998,1010875500
Poblacion Total,PYF,1998,242882
Poblacion Total,QAT,1998,580997
Poblacion Total,ROU,1998,22507344
Poblacion Total,RUS,1998,147670784
Poblacion Total,RWA,1998,7914645
Poblacion Total,SAS,1998,1352849350
Poblacion Total,SAU,1998,20472580
Poblacion Total,SDN,1998,25029144
Poblacion Total,SEN,1998,9261526
Poblacion Total,SGP,1998,3927213
Poblacion Total,SLB,1998,408145
Poblacion Total,SLE,1998,4449975
Poblacion Total,SLV,1998,5885083
Poblacion Total,SMR,1998,25997
Poblacion Total,SOM,1998,8056862
Poblacion Total,SRB,1998,7567745
Poblacion Total,SSA,1998,637119672
Poblacion Total,SSD,1998,5699436
Poblacion Total,SSF,1998,637198518
Poblacion Total,SST,1998,29106853
Poblacion Total,STP,1998,139790
Poblacion Total,SUR,1998,461749
Poblacion Total,SVK,1998,5390516
Poblacion Total,SVN,1998,1981629
Poblacion Total,SWE,1998,8850974
Poblacion Total,SWZ,1998,1005158
Poblacion Total,SXM,1998,31240
Poblacion Total,SYC,1998,78846
Poblacion Total,SYR,1998,15500542
Poblacion Total,TCA,1998,17239
Poblacion Total,TCD,1998,7709115
Poblacion Total,TEA,1998,1756774303
Poblacion Total,TEC,1998,436294062
Poblacion Total,TGO,1998,4728297
Poblacion Total,THA,1998,61745217
Poblacion Total,TJK,1998,6156805
Poblacion Total,TKM,1998,4431517
Poblacion Total,TLA,1998,490145696
Poblacion Total,TLS,1998,855409
Poblacion Total,TMN,1998,270162305
Poblacion Total,TON,1998,101343
Poblacion Total,TSA,1998,1352849350
Poblacion Total,TSS,1998,637198518
Poblacion Total,TTO,1998,1322572
Poblacion Total,TUN,1998,9677148
Poblacion Total,TUR,1998,62242204
Poblacion Total,TUV,1998,9634
Poblacion Total,TZA,1998,32626498
Poblacion Total,UGA,1998,22537658
Poblacion Total,UKR,1998,50144500
Poblacion Total,UMC,1998,2329845650
Poblacion Total,URY,1998,3262683
Poblacion Total,USA,1998,275854000
Poblacion Total,UZB,1998,24051000
Poblacion Total,VCT,1998,114165
Poblacion Total,VEN,1998,23503819
Poblacion Total,VGB,1998,19079
Poblacion Total,VIR,1998,108537
Poblacion Total,VNM,1998,77128424
Poblacion Total,VUT,1998,183088
Poblacion Total,WLD,1998,5979726559
Poblacion Total,WSM,1998,180385
Poblacion Total,XKX,1998,1966000
Poblacion Total,YEM,1998,17608133
Poblacion Total,ZAF,1998,45852166
Poblacion Total,ZMB,1998,9372430
Poblacion Total,ZWE,1998,11548364
Poblacion Total,ABW,1999,86867
Poblacion Total,AFG,1999,19262847
Poblacion Total,AGO,1999,15870753
Poblacion Total,ALB,1999,3108778
Poblacion Total,AND,1999,65655
Poblacion Total,ARB,1999,280650496
Poblacion Total,ARE,1999,3097563
Poblacion Total,ARG,1999,36653031
Poblacion Total,ARM,1999,3206030
Poblacion Total,ASM,1999,57594
Poblacion Total,ATG,1999,73821
Poblacion Total,AUS,1999,18812264
Poblacion Total,AUT,1999,7992324
Poblacion Total,AZE,1999,7982750
Poblacion Total,BDI,1999,6180180
Poblacion Total,BEL,1999,10226419
Poblacion Total,BEN,1999,6788589
Poblacion Total,BFA,1999,11533554
Poblacion Total,BGD,1999,126754824
Poblacion Total,BGR,1999,8210624
Poblacion Total,BHR,1999,692133
Poblacion Total,BHS,1999,320272
Poblacion Total,BIH,1999,4153014
Poblacion Total,BLR,1999,10026738
Poblacion Total,BLZ,1999,232733
Poblacion Total,BMU,1999,61285
Poblacion Total,BOL,1999,8439052
Poblacion Total,BRA,1999,173486281
Poblacion Total,BRB,1999,264170
Poblacion Total,BRN,1999,327045
Poblacion Total,BTN,1999,570990
Poblacion Total,BWA,1999,1691558
Poblacion Total,CAF,1999,3655360
Poblacion Total,CAN,1999,30401286
Poblacion Total,CEB,1999,109060951
Poblacion Total,CHE,1999,7143991
Poblacion Total,CHI,1999,144811
Poblacion Total,CHL,1999,15176410
Poblacion Total,CHN,1999,1252735000
Poblacion Total,CIV,1999,16345894
Poblacion Total,CMR,1999,14698973
Poblacion Total,COD,1999,47227238
Poblacion Total,COG,1999,3016659
Poblacion Total,COL,1999,38585033
Poblacion Total,COM,1999,526443
Poblacion Total,CPV,1999,449627
Poblacion Total,CRI,1999,3901430
Poblacion Total,CSS,1999,6535399
Poblacion Total,CUB,1999,11070094
Poblacion Total,CUW,1999,139428
Poblacion Total,CYM,1999,38295
Poblacion Total,CYP,1999,931600
Poblacion Total,CZE,1999,10283860
Poblacion Total,DEU,1999,82100243
Poblacion Total,DJI,1999,719371
Poblacion Total,DMA,1999,68698
Poblacion Total,DNK,1999,5321799
Poblacion Total,DOM,1999,8411374
Poblacion Total,DZA,1999,30346083
Poblacion Total,EAP,1999,1799013672
Poblacion Total,EAR,1999,2452952807
Poblacion Total,EAS,1999,2028993034
Poblacion Total,ECA,1999,370546751
Poblacion Total,ECS,1999,861848594
Poblacion Total,ECU,1999,12412046
Poblacion Total,EGY,1999,69907887
Poblacion Total,EMU,1999,320272154
Poblacion Total,ERI,1999,2356477
Poblacion Total,ESP,1999,40386875
Poblacion Total,EST,1999,1390244
Poblacion Total,ETH,1999,65077579
Poblacion Total,EUU,1999,428828749
Poblacion Total,FCS,1999,598919585
Poblacion Total,FIN,1999,5165474
Poblacion Total,FJI,1999,823422
Poblacion Total,FRA,1999,60504420
Poblacion Total,FRO,1999,45203
Poblacion Total,FSM,1999,111539
Poblacion Total,GAB,1999,1240764
Poblacion Total,GBR,1999,58682466
Poblacion Total,GEO,1999,4157192
Poblacion Total,GHA,1999,19176791
Poblacion Total,GIB,1999,27695
Poblacion Total,GIN,1999,8174897
Poblacion Total,GMB,1999,1396499
Poblacion Total,GNB,1999,1206474
Poblacion Total,GNQ,1999,655029
Poblacion Total,GRC,1999,10761698
Poblacion Total,GRD,1999,106823
Poblacion Total,GRL,1999,56100
Poblacion Total,GTM,1999,11311078
Poblacion Total,GUM,1999,158395
Poblacion Total,GUY,1999,758014
Poblacion Total,HIC,1999,1095437130
Poblacion Total,HKG,1999,6606500
Poblacion Total,HND,1999,6477365
Poblacion Total,HPC,1999,462533086
Poblacion Total,HRV,1999,4512597
Poblacion Total,HTI,1999,8208941
Poblacion Total,HUN,1999,10237530
Poblacion Total,IBD,1999,3932457638
Poblacion Total,IBT,1999,5019066614
Poblacion Total,IDA,1999,1086608976
Poblacion Total,IDB,1999,361007750
Poblacion Total,IDN,1999,210996910
Poblacion Total,IDX,1999,725601226
Poblacion Total,IMN,1999,74668
Poblacion Total,IND,1999,1040500054
Poblacion Total,INX,1999,
Poblacion Total,IRL,1999,3754786
Poblacion Total,IRN,1999,64474745
Poblacion Total,IRQ,1999,23820734
Poblacion Total,ISL,1999,277381
Poblacion Total,ISR,1999,6125000
Poblacion Total,ITA,1999,56916317
Poblacion Total,JAM,1999,2596271
Poblacion Total,JOR,1999,4950775
Poblacion Total,JPN,1999,126631000
Poblacion Total,KAZ,1999,14928374
Poblacion Total,KEN,1999,29965129
Poblacion Total,KGZ,1999,4840400
Poblacion Total,KHM,1999,11899006
Poblacion Total,KIR,1999,87289
